year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,1,1,1/1/2024,9E,4814,JFK,"New York, NY",New York,DTW,"Detroit, MI",Michigan,1252,1247,-5,31,1318,1442,7,1508,1449,-19,0,,0,136,122,84,509,0,0,0,0,0
2024,1,1,1,1/1/2024,9E,4815,MSP,"Minneapolis, MN",Minnesota,CLE,"Cleveland, OH",Ohio,1015,1001,-14,20,1021,1249,6,1325,1255,-30,0,,0,130,114,88,622,0,0,0,0,0
2024,1,1,1,1/1/2024,9E,4817,JFK,"New York, NY",New York,RIC,"Richmond, VA",Virginia,1415,1411,-4,21,1432,1533,8,1601,1541,-20,0,,0,106,90,61,288,0,0,0,0,0
2024,1,1,1,1/1/2024,9E,4817,RIC,"Richmond, VA",Virginia,JFK,"New York, NY",New York,1650,1643,-7,13,1656,1747,12,1841,1759,-42,0,,0,111,76,51,288,0,0,0,0,0
2024,1,1,1,1/1/2024,9E,4818,DTW,"Detroit, MI",Michigan,MKE,"Milwaukee, WI",Wisconsin,1015,1010,-5,21,1031,1016,4,1034,1020,-14,0,,0,79,70,45,237,0,0,0,0,0
2024,1,1,1,1/1/2024,9E,4822,JAX,"Jacksonville, FL",Florida,LGA,"New York, NY",New York,1410,1403,-7,14,1417,1559,4,1627,1603,-24,0,,0,137,120,102,833,0,0,0,0,0
2024,1,1,1,1/1/2024,9E,4822,LGA,"New York, NY",New York,JAX,"Jacksonville, FL",Florida,955,947,-8,26,1013,1218,13,1244,1231,-13,0,,0,169,164,125,833,0,0,0,0,0
2024,1,1,1,1/1/2024,9E,4823,CHS,"Charleston, SC",South Carolina,LGA,"New York, NY",New York,1140,1135,-5,8,1143,1309,5,1338,1314,-24,0,,0,118,99,86,641,0,0,0,0,0
2024,1,1,1,1/1/2024,9E,4823,LGA,"New York, NY",New York,CHS,"Charleston, SC",South Carolina,815,810,-5,14,824,1005,8,1044,1013,-31,0,,0,149,123,101,641,0,0,0,0,0
2024,1,1,1,1/1/2024,9E,4828,ITH,"Ithaca/Cortland, NY",New York,JFK,"New York, NY",New York,1300,1248,-12,12,1300,1343,12,1419,1355,-24,0,,0,79,67,43,189,0,0,0,0,0
2024,1,1,1,1/1/2024,9E,4828,JFK,"New York, NY",New York,ITH,"Ithaca/Cortland, NY",New York,1104,1054,-10,13,1107,1148,3,1215,1151,-24,0,,0,71,57,41,189,0,0,0,0,0
